Sygnatura czasowa,Pseudonim,Tytuł atrakcji,Typ atrakcji,Czas trwania atrakcji (w godzinach),Opis atrakcji dla uczestników,Opis atrakcji dla organizatora (jeśli czujesz potrzebę dokładniejszego opisu przebiegu),Czy atrakcja zawiera treści dla dorosłych?,"Dyspozycyjność (preferowane godziny trwania atrakcji)

Zaznaczasz wszystkie, które Ci pasują.",Czy potrzebujesz laptopa?,Czy potrzebujesz głośników?,Czy potrzebujesz noclegu?,Miejsce na wszelkie inne uwagi,Doświadczenie/referencje,Priorytet atrakcji (Tier 1–3),Szacowana frekwencja,Wymagane tagi sali,Wymagane wyposażenie,Auto-planowanie,Klauzula RODO:
2026-07-24 22:09:18,Eileen_Bayer72,Prelekcja: VTuber fandom,Prelekcja,1,"Prelekcja: VTuber fandom is a nostalgic prelekcja for participants who want a relaxed convention break. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: VTuber fandom: check projector input before doors open; avoid placing another loud event next door.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Central Directives Analyst with 8 years of community experience and 4 previous fan-event sessions.,2,100,,projector,tak,Wyrażam zgodę
2026-07-23 03:33:33,Nathaniel_Reilly1,musty przewodnik po japońskie gry RPG,Prelekcja,1,"musty przewodnik po japońskie gry RPG is a deep-dive prelekcja for players who enjoy chaotic quizzes. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for musty przewodnik po japońskie gry RPG: check projector input before doors open; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Product Group Coordinator with 5 years of community experience and 6 previous fan-event sessions.,1,100,,"projector,speakers",tak,Wyrażam zgodę
2026-07-03 22:13:58,Brionna_Pouros7,Panel: retro handheldy,Panel,1,"Panel: retro handheldy is a nostalgic panel for people curious about Japanese pop culture. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Panel: retro handheldy: leave space near the door for late arrivals; confirm equipment before opening the room.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Central Operations Planner with 1 years of community experience and 7 previous fan-event sessions.,1,200,,"microphone,projector",tak,Wyrażam zgodę
2026-07-25 21:05:07,Marsha Neko,Prelekcja: openingi i endingi,Prelekcja,1,"Prelekcja: openingi i endingi is a deep-dive prelekcja for fans of seasonal anime. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: openingi i endingi: leave space near the door for late arrivals; avoid placing another loud event next door.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Customer Quality Consultant with 2 years of community experience and 3 previous fan-event sessions.,2,100,,projector,tak,Wyrażam zgodę
2026-07-05 01:22:53,Julia18,Prelekcja: idol culture,Prelekcja,1,"Prelekcja: idol culture is a beginner-friendly prelekcja for people curious about Japanese pop culture. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: idol culture: leave space near the door for late arrivals; mark this as low risk for content moderation.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Senior Data Planner with 9 years of community experience and 3 previous fan-event sessions.,2,100,,projector,tak,Wyrażam zgodę
2026-07-03 07:55:55,Rosetta Reads,isekai tropes — capitulus adaugeo,Prelekcja,1,"isekai tropes — capitulus adaugeo is a beginner-friendly prelekcja for participants who want a relaxed convention break. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for isekai tropes — capitulus adaugeo: prepare a visible queue line; avoid placing another loud event next door.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Forward Directives Director with 6 years of community experience and 15 previous fan-event sessions.,2,100,,projector,tak,Wyrażam zgodę
2026-07-25 22:26:52,Karla_Wiegand,Quiz 2024: isekai tropes,Konkurs,1,"Quiz 2024: isekai tropes is a energetic konkurs for cosplayers looking for practical ideas. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2024: isekai tropes: reserve the first row for helpers; mark this as low risk for content moderation.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Customer Directives Representative with 6 years of community experience and 11 previous fan-event sessions.,2,50,,"projector,speakers",tak,Wyrażam zgodę
2026-07-13 19:15:41,Manga Guild,Quiz 2026: openingi i endingi,Konkurs,2,"Quiz 2026: openingi i endingi is a energetic konkurs for players who enjoy chaotic quizzes. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2026: openingi i endingi: keep a short microphone test before start; avoid placing another loud event next door.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,International Program Technician with 6 years of community experience and 13 previous fan-event sessions.,2,100,,"projector,speakers",tak,Wyrażam zgodę
2026-07-19 23:32:23,Loraine_Conn40,Quiz 2026: Studio Ghibli,Konkurs,2,"Quiz 2026: Studio Ghibli is a deep-dive konkurs for participants who want a relaxed convention break. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2026: Studio Ghibli: prepare a visible queue line; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Principal Markets Agent with 2 years of community experience and 17 previous fan-event sessions.,2,100,,projector,tak,Wyrażam zgodę
2026-07-02 00:12:13,Anime Atelier,Quiz 2025: retro handheldy,Konkurs,2,"Quiz 2025: retro handheldy is a deep-dive konkurs for cosplayers looking for practical ideas. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2025: retro handheldy: reserve the first row for helpers; confirm equipment before opening the room.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Central Optimization Agent with 7 years of community experience and 17 previous fan-event sessions.,1,100,,"projector,speakers",tak,Wyrażam zgodę
2026-07-05 05:43:23,Noel.Kreiger,Quiz 2024: idol culture,Konkurs,2,"Quiz 2024: idol culture is a energetic konkurs for people curious about Japanese pop culture. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2024: idol culture: check projector input before doors open; confirm equipment before opening the room.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Customer Operations Executive with 7 years of community experience and 7 previous fan-event sessions.,1,100,,projector,tak,Wyrażam zgodę
2026-07-06 18:56:59,Scott.Turner,Konkurs wiedzy: makijaż postaci,Konkurs,2,"Konkurs wiedzy: makijaż postaci is a lightly competitive konkurs for participants who want a relaxed convention break. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Konkurs wiedzy: makijaż postaci: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Investor Intranet Administrator with 12 years of community experience and 13 previous fan-event sessions.,1,100,,projector,tak,Wyrażam zgodę
2026-07-28 13:58:42,Claire.Buckridge,Wiedzówka — rhythm games,Konkurs,2,"Wiedzówka — rhythm games is a lightly competitive konkurs for fans of seasonal anime. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Wiedzówka — rhythm games: keep a short microphone test before start; avoid placing another loud event next door.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00, nocka 2:00 - 9:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Future Data Orchestrator with 6 years of community experience and 3 previous fan-event sessions.,3,50,,"paper,markers",tak,Wyrażam zgodę
2026-07-14 15:54:19,Crystel Art,Wprowadzenie do Studio Ghibli,Warsztaty,1,"Wprowadzenie do Studio Ghibli is a beginner-friendly warsztaty for players who enjoy chaotic quizzes. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Wprowadzenie do Studio Ghibli: leave space near the door for late arrivals; mark this as low risk for content moderation.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Senior Group Officer with 7 years of community experience and 4 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-16 10:04:56,Beth Star,dense przewodnik po retro handheldy,Prelekcja,1,"dense przewodnik po retro handheldy is a energetic prelekcja for fans of seasonal anime. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for dense przewodnik po retro handheldy: check projector input before doors open; watch capacity closely if the room starts filling early.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,District Intranet Designer with 9 years of community experience and 13 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-27 22:23:38,Mervin96,Dlaczego origami i crafts?,Prelekcja,1,"Dlaczego origami i crafts? is a beginner-friendly prelekcja for participants who want a relaxed convention break. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for Dlaczego origami i crafts?: keep a short microphone test before start; mark this as low risk for content moderation.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Global Markets Associate with 11 years of community experience and 13 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-05 10:12:39,Night Lab,Warsztaty: cosplay od podstaw,Warsztaty,2,"Warsztaty: cosplay od podstaw is a nostalgic warsztaty for players who enjoy chaotic quizzes. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Warsztaty: cosplay od podstaw: check projector input before doors open; avoid placing another loud event next door.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,District Markets Developer with 3 years of community experience and 14 previous fan-event sessions.,2,50,,"tables,paint,brushes",tak,Wyrażam zgodę
2026-07-07 20:41:04,Jazlyn Draws,openingi i endingi — cauda vindico tutis ademptio,Prelekcja,1,"openingi i endingi — cauda vindico tutis ademptio is a beginner-friendly prelekcja for participants who want a relaxed convention break. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for openingi i endingi — cauda vindico tutis ademptio: reserve the first row for helpers; watch capacity closely if the room starts filling early.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Customer Data Specialist with 5 years of community experience and 11 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-17 10:34:01,Nona.Champlin9,japońskie gry RPG — at varius mollitia,Prelekcja,1,"japońskie gry RPG — at varius mollitia is a nostalgic prelekcja for cosplayers looking for practical ideas. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for japońskie gry RPG — at varius mollitia: leave space near the door for late arrivals; avoid placing another loud event next door.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Human Operations Administrator with 9 years of community experience and 14 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-19 07:13:41,Magnus2,Dlaczego rhythm games?,Prelekcja,1,"Dlaczego rhythm games? is a energetic prelekcja for participants who want a relaxed convention break. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Dlaczego rhythm games?: keep a short microphone test before start; watch capacity closely if the room starts filling early.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,International Markets Producer with 1 years of community experience and 2 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-02 16:25:30,Brice19,serene przewodnik po openingi i endingi,Prelekcja,1,"serene przewodnik po openingi i endingi is a energetic prelekcja for participants who want a relaxed convention break. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for serene przewodnik po openingi i endingi: leave space near the door for late arrivals; avoid placing another loud event next door.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Regional Operations Engineer with 6 years of community experience and 18 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-23 03:15:09,Jordane Star,mean przewodnik po idol culture,Prelekcja,1,"mean przewodnik po idol culture is a deep-dive prelekcja for fans of seasonal anime. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for mean przewodnik po idol culture: keep a short microphone test before start; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Forward Tactics Officer with 2 years of community experience and 10 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-08 13:36:47,Rachelle Quest,rhythm games — vacuus comes carbo adipisci,Prelekcja,1,"rhythm games — vacuus comes carbo adipisci is a beginner-friendly prelekcja for people curious about Japanese pop culture. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for rhythm games — vacuus comes carbo adipisci: keep a short microphone test before start; avoid placing another loud event next door.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Corporate Assurance Planner with 6 years of community experience and 11 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-04 23:51:42,Frederick Goyette,gorgeous przewodnik po Studio Ghibli,Prelekcja,2,"gorgeous przewodnik po Studio Ghibli is a energetic prelekcja for people curious about Japanese pop culture. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for gorgeous przewodnik po Studio Ghibli: keep a short microphone test before start; confirm equipment before opening the room.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Customer Metrics Consultant with 8 years of community experience and 12 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-18 12:15:35,Dessie38,Jak Studio Ghibli?,Prelekcja,1,"Jak Studio Ghibli? is a lightly competitive prelekcja for people curious about Japanese pop culture. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Jak Studio Ghibli?: leave space near the door for late arrivals; confirm equipment before opening the room.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Forward Marketing Analyst with 1 years of community experience and 23 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-26 20:11:59,Cosplay Circle,Prelekcja: cosplay od podstaw,Prelekcja,1,"Prelekcja: cosplay od podstaw is a lightly competitive prelekcja for fans of seasonal anime. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: cosplay od podstaw: check projector input before doors open; mark this as low risk for content moderation.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Forward Marketing Manager with 3 years of community experience and 14 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-14 00:13:09,Anime Circle,Co to jest polski dubbing?,Prelekcja,1,"Co to jest polski dubbing? is a deep-dive prelekcja for fans of seasonal anime. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Co to jest polski dubbing?: reserve the first row for helpers; avoid placing another loud event next door.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Legacy Assurance Facilitator with 11 years of community experience and 16 previous fan-event sessions.,3,50,,projector,tak,Wyrażam zgodę
2026-07-17 01:05:29,Daren_Leuschke62,Jak cosplay od podstaw?,Prelekcja,1,"Jak cosplay od podstaw? is a nostalgic prelekcja for participants who want a relaxed convention break. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Jak cosplay od podstaw?: keep a short microphone test before start; confirm equipment before opening the room.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00, nocka 2:00 - 9:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Corporate Accountability Producer with 8 years of community experience and 12 previous fan-event sessions.,3,50,,projector,tak,Wyrażam zgodę
